alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp,Smth1,Smth2
  3.800, 0.4318, 0.00470, 0.00078,-0.0012,0.0031,0.2930,-3.1752, 0.0000, 0.0000, 0.0000, 0.2506
  3.900, 0.4431, 0.00471, 0.00080,-0.0012,0.0029,0.2988,-3.3338, 0.0000, 0.0000, 0.0000, 0.2505
  4.000, 0.4545, 0.00473, 0.00082,-0.0012,0.0027,0.3000,-3.4958, 0.0000, 0.0000, 0.0000, 0.2505
  4.100, 0.4658, 0.00475, 0.00085,-0.0013,0.0025,0.3060,-3.6607, 0.0000, 0.0000, 0.0000, 0.2504
  4.200, 0.4771, 0.00477, 0.00087,-0.0013,0.0023,0.3144,-3.8284, 0.0000, 0.0000, 0.0000, 0.2503
  4.500, 0.5111, 0.00482, 0.00095,-0.0014,0.0023,0.3281,-4.3520, 0.0000, 0.0000, 0.0000, 0.2501
  4.600, 0.5225, 0.00484, 0.00097,-0.0014,0.0023,0.3367,-4.5327, 0.0000, 0.0000, 0.0000, 0.2500
  4.800, 0.5451, 0.00488, 0.00102,-0.0014,0.0023,0.3448,-4.9024, 0.0000, 0.0000, 0.0000, 0.2498
  4.900, 0.5564, 0.00490, 0.00105,-0.0014,0.0023,0.3495,-5.0918, 0.0000, 0.0000, 0.0000, 0.2497
  5.000, 0.5677, 0.00493, 0.00108,-0.0015,0.0023,0.3576,-5.2842, 0.0000, 0.0000, 0.0000, 0.2496
  5.100, 0.5790, 0.00494, 0.00110,-0.0015,0.0023,0.3655,-5.4794, 0.0000, 0.0000, 0.0000, 0.2496
  5.200, 0.5903, 0.00497, 0.00113,-0.0015,0.0023,0.3671,-5.6780, 0.0000, 0.0000, 0.0000, 0.2495
  5.300, 0.6017, 0.00499, 0.00117,-0.0015,0.0022,0.3700,-5.8796, 0.0000, 0.0000, 0.0000, 0.2494
  5.400, 0.6130, 0.00502, 0.00120,-0.0015,0.0022,0.3778,-6.0842, 0.0000, 0.0000, 0.0000, 0.2493
  5.500, 0.6243, 0.00504, 0.00122,-0.0015,0.0022,0.3856,-6.2918, 0.0000, 0.0000, 0.0000, 0.2492
  5.600, 0.6355, 0.00506, 0.00126,-0.0015,0.0022,0.3903,-6.5024, 0.0000, 0.0000, 0.0000, 0.2491
  5.700, 0.6468, 0.00509, 0.00129,-0.0016,0.0022,0.3919,-6.7164, 0.0000, 0.0000, 0.0000, 0.2489
  5.800, 0.6581, 0.00512, 0.00133,-0.0016,0.0022,0.3979,-6.9334, 0.0000, 0.0000, 0.0000, 0.2488
  5.900, 0.6694, 0.00515, 0.00136,-0.0016,0.0022,0.4058,-7.1533, 0.0000, 0.0000, 0.0000, 0.2487
  6.000, 0.6807, 0.00517, 0.00139,-0.0016,0.0022,0.4134,-7.3743, 0.0000, 0.0000, 0.0000, 0.2486
  6.100, 0.6920, 0.00520, 0.00143,-0.0016,0.0022,0.4144,-7.6003, 0.0000, 0.0000, 0.0000, 0.2485
  6.200, 0.7032, 0.00524, 0.00147,-0.0016,0.0022,0.4179,-7.8295, 0.0000, 0.0000, 0.0000, 0.2484
  6.300, 0.7145, 0.00527, 0.00150,-0.0016,0.0022,0.4266,-8.0618, 0.0000, 0.0000, 0.0000, 0.2483
  6.400, 0.7258, 0.00529, 0.00154,-0.0016,0.0022,0.4345,-8.2970, 0.0000, 0.0000, 0.0000, 0.2481
  6.500, 0.7370, 0.00532, 0.00158,-0.0016,0.0022,0.4379,-8.5356, 0.0000, 0.0000, 0.0000, 0.2480
  6.600, 0.7483, 0.00536, 0.00162,-0.0016,0.0022,0.4396,-8.7774, 0.0000, 0.0000, 0.0000, 0.2479
  6.700, 0.7595, 0.00540, 0.00166,-0.0016,0.0022,0.4460,-9.0224, 0.0000, 0.0000, 0.0000, 0.2478
  6.800, 0.7707, 0.00543, 0.00170,-0.0016,0.0022,0.4546,-9.2703, 0.0000, 0.0000, 0.0000, 0.2476
  6.900, 0.7820, 0.00546, 0.00174,-0.0016,0.0022,0.4616,-9.5214, 0.0000, 0.0000, 0.0000, 0.2475
  7.000, 0.7932, 0.00550, 0.00178,-0.0016,0.0022,0.4623,-9.7759, 0.0000, 0.0000, 0.0000, 0.2474
  7.100, 0.8044, 0.00554, 0.00183,-0.0016,0.0021,0.4656,-10.0335, 0.0000, 0.0000, 0.0000, 0.2472
  7.200, 0.8157, 0.00558, 0.00188,-0.0016,0.0021,0.4741,-10.2943, 0.0000, 0.0000, 0.0000, 0.2471
  7.300, 0.8269, 0.00561, 0.00192,-0.0016,0.0021,0.4825,-10.5581, 0.0000, 0.0000, 0.0000, 0.2470
  7.400, 0.8380, 0.00566, 0.00197,-0.0016,0.0021,0.4860,-10.8277, 0.0000, 0.0000, 0.0000, 0.2468
  7.500, 0.8492, 0.00572, 0.00203,-0.0016,0.0020,0.4878,-11.0991, 0.0000, 0.0000, 0.0000, 0.2467
  7.600, 0.8603, 0.00578, 0.00210,-0.0016,0.0019,0.4938,-11.3722, 0.0000, 0.0000, 0.0000, 0.2465
  7.700, 0.8714, 0.00584, 0.00216,-0.0015,0.0018,0.5020,-11.6474, 0.0000, 0.0000, 0.0000, 0.2464
  7.800, 0.8825, 0.00589, 0.00223,-0.0015,0.0017,0.5097,-11.9252, 0.0000, 0.0000, 0.0000, 0.2462
